TOD,TRD,Flight Level,Track No.,XPos,YPos,3D Height
32083,20,NP,294,55.984375,-13.242188,4358.64
32091,20,NP,294,55.679688,-14.054688,4282.44
32099,20,NP,294,55.351563,-14.914063,4175.76
32107,20,NP,294,55.023438,-15.828125,4069.08
32115,20,NP,294,54.734375,-16.609375,3992.88
32123,0,NP,294,54.421875,-17.460938,3954.78
32131,20,NP,294,54.09375,-18.476563,4053.84
32139,20,NP,294,53.804688,-19.359375,4145.28
32147,20,NP,294,53.484375,-20.328125,4175.76
32155,20,NP,294,53.15625,-21.3125,4221.48
32163,20,NP,294,52.867188,-22.242188,4221.48
32171,20,NP,294,52.484375,-23.367188,4244.34
32179,20,NP,294,52.007813,-24.710938,4183.38
32187,20,NP,294,51.726563,-25.578125,4145.28
32195,20,NP,294,51.445313,-26.445313,4160.52
32203,20,NP,294,51.171875,-27.304688,4091.94
32211,20,NP,294,50.898438,-28.210938,4152.9
32219,20,NP,294,50.632813,-29.125,4160.52
32227,20,NP,294,50.351563,-30.078125,4160.52
32235,20,NP,294,50.09375,-30.992188,4130.04
32243,20,NP,294,49.789063,-31.90625,4107.18
32251,20,NP,294,49.265625,-32.726563,4091.94
32259,20,NP,294,48.429688,-33.429688,4069.08
32267,20,NP,294,47.570313,-33.664063,4122.42
32275,20,NP,294,46.601563,-33.726563,4213.86
32283,20,NP,294,45.921875,-33.242188,4328.16
32291,20,NP,294,45.132813,-32.90625,3322.32
32299,20,NP,294,44.382813,-32.445313,3642.36
32307,0,NP,294,43.554688,-32.09375,3535.68
32315,20,NP,294,42.96875,-31.429688,3771.9
32323,20,NP,294,42.28125,-30.882813,3931.92
32331,20,NP,294,41.578125,-30.34375,4137.66
32339,20,NP,294,40.867188,-29.8125,4251.96
32347,20,NP,294,40.171875,-29.289063,4175.76
32355,0,NP,294,39.445313,-28.796875,4213.86
32363,20,NP,294,38.742188,-28.226563,4312.92
32371,20,NP,294,38.039063,-27.695313,4251.96
32379,20,NP,294,37.3125,-27.140625,5044.44
32387,20,NP,294,36.601563,-26.617188,4861.56
32395,20,NP,294,35.875,-26.109375,4556.76
